instance_id,duration_hours,interrupted,service
EC-86820,22.87,0,EC2
EC-47194,4.59,0,EC2
S3-70263,8.68,0,S3
LA-10769,1.47,0,Lambda
LA-77969,22.59,0,Lambda
LA-63707,5.22,0,Lambda
EC-35658,1.16,0,EC2
RD-12747,2.07,0,RDS
EC-94654,11.49,0,EC2
RD-76803,9.8,0,RDS
DY-13890,2.07,0,DynamoDB
EC-97313,11.36,0,EC2
EC-83969,23.21,0,EC2
EC-33483,1.37,0,EC2
LA-90077,12.39,0,Lambda
LA-99475,5.19,0,Lambda
RD-88953,12.96,0,RDS
RD-82409,1.72,0,RDS
EC-42606,10.09,0,EC2
RD-11016,3.04,0,RDS
LA-34300,20.42,0,Lambda
RD-22185,20.06,0,RDS
DY-48044,14.96,0,DynamoDB
LA-50774,2.71,0,Lambda
DY-12695,10.08,0,DynamoDB
RD-49504,19.76,1,RDS
S3-22666,19.17,0,S3
EC-62251,9.24,1,EC2
LA-62256,15.34,0,Lambda
DY-89575,8.15,0,DynamoDB
S3-20965,14.6,0,S3
S3-18110,11.86,0,S3
LA-16910,18.5,0,Lambda
LA-10206,1.93,0,Lambda
S3-60636,1.58,0,S3
EC-64268,21.6,0,EC2
EC-81910,21.87,0,EC2
DY-43827,18.38,0,DynamoDB
EC-32299,14.77,0,EC2
S3-59080,19.59,0,S3
S3-79163,11.5,0,S3
RD-28047,21.32,0,RDS
S3-54262,21.61,0,S3
EC-76842,7.26,0,EC2
DY-65016,19.81,0,DynamoDB
RD-15530,4.79,0,RDS
EC-23545,6.11,0,EC2
DY-71087,22.69,0,DynamoDB
EC-64384,17.17,0,EC2
RD-93211,6.84,0,RDS
S3-33664,12.44,0,S3
RD-36736,23.95,0,RDS
S3-10854,10.45,0,S3
RD-56717,21.89,0,RDS
LA-36309,12.26,0,Lambda
EC-22688,16.46,0,EC2
EC-62083,9.46,0,EC2
LA-90623,10.17,0,Lambda
S3-96202,4.47,0,S3
EC-59811,1.94,0,EC2
LA-44754,6.07,0,Lambda
EC-77270,9.02,0,EC2
DY-81295,16.89,0,DynamoDB
S3-11802,20.27,0,S3
DY-57254,3.61,0,DynamoDB
S3-26646,17.0,0,S3
LA-26371,19.8,0,Lambda
S3-30932,6.56,0,S3
S3-53016,15.56,0,S3
LA-61407,17.11,0,Lambda
S3-69040,21.4,0,S3
EC-42711,2.94,0,EC2
RD-58354,16.39,0,RDS
LA-12200,22.62,0,Lambda
RD-87505,4.7,1,RDS
LA-48467,16.0,0,Lambda
LA-13987,8.48,0,Lambda
DY-96416,18.12,0,DynamoDB
DY-50818,13.48,0,DynamoDB
S3-89909,6.76,0,S3
RD-15895,12.2,0,RDS
LA-64045,19.28,0,Lambda
S3-15600,16.39,0,S3
EC-55714,17.62,0,EC2
LA-83744,18.68,0,Lambda
EC-92989,11.81,0,EC2
S3-73208,9.51,0,S3
DY-10301,8.61,0,DynamoDB
S3-64240,23.16,0,S3
EC-16102,8.03,1,EC2
LA-36641,12.16,0,Lambda
RD-76105,22.53,0,RDS
S3-82991,2.62,0,S3
LA-66958,9.25,0,Lambda
DY-76320,21.18,0,DynamoDB
DY-88069,4.14,0,DynamoDB
DY-29190,7.75,0,DynamoDB
LA-20647,6.89,0,Lambda
S3-99912,12.76,0,S3
LA-87575,5.47,0,Lambda
LA-97922,19.3,0,Lambda
RD-88657,9.64,0,RDS
RD-62921,16.46,0,RDS
S3-65609,7.59,0,S3
RD-80313,6.76,0,RDS
DY-78027,9.28,0,DynamoDB
RD-13051,20.04,0,RDS
DY-64021,11.52,0,DynamoDB
S3-79678,13.22,0,S3
LA-27019,4.18,0,Lambda
LA-83847,1.94,0,Lambda
RD-35945,11.1,0,RDS
DY-61990,23.14,0,DynamoDB
EC-76617,16.84,0,EC2
EC-56175,11.17,0,EC2
EC-55543,17.44,0,EC2
LA-23500,15.68,0,Lambda
LA-69638,13.75,0,Lambda
DY-79042,14.02,0,DynamoDB
RD-71389,1.33,0,RDS
EC-61293,3.17,1,EC2
DY-53919,17.18,0,DynamoDB
DY-72752,12.31,0,DynamoDB
RD-33049,15.94,0,RDS
DY-50158,21.39,0,DynamoDB
RD-19823,22.47,1,RDS
S3-14611,16.15,0,S3
RD-40977,22.71,0,RDS
EC-70890,14.47,1,EC2
EC-21938,16.57,0,EC2
RD-48304,11.54,0,RDS
S3-30764,5.75,0,S3
S3-22161,3.32,0,S3
EC-37350,15.22,1,EC2
S3-25305,8.34,0,S3
DY-30358,19.73,0,DynamoDB
LA-36092,17.02,0,Lambda
DY-43496,1.9,0,DynamoDB
EC-54425,7.49,0,EC2
S3-93042,14.08,0,S3
RD-75510,9.56,0,RDS
LA-42479,20.94,0,Lambda
RD-81180,10.87,0,RDS
EC-65069,6.48,0,EC2
S3-56959,12.62,0,S3
RD-49954,7.85,0,RDS
RD-82936,1.25,0,RDS
LA-69163,9.16,0,Lambda
LA-64098,22.86,0,Lambda
S3-99112,2.92,0,S3
LA-70566,5.89,0,Lambda
RD-99780,3.61,0,RDS
RD-19348,2.32,0,RDS
EC-99930,13.56,0,EC2
RD-33625,4.29,0,RDS
S3-54261,20.94,0,S3
DY-49081,17.12,0,DynamoDB
EC-93460,21.51,0,EC2
EC-38295,6.36,0,EC2
S3-67854,9.52,0,S3
S3-45909,14.61,0,S3
LA-36790,12.08,0,Lambda
EC-25485,21.85,0,EC2
LA-19435,1.26,0,Lambda
RD-67799,18.04,0,RDS
EC-62224,15.93,0,EC2
EC-76040,6.46,0,EC2
DY-43591,7.57,0,DynamoDB
EC-77641,11.04,0,EC2
RD-44620,23.31,1,RDS
LA-71642,2.0,0,Lambda
LA-40354,6.82,0,Lambda
DY-27640,13.03,0,DynamoDB
RD-62736,7.77,0,RDS
LA-29087,14.44,0,Lambda
S3-20975,22.05,0,S3
RD-33959,10.07,0,RDS
RD-56427,7.38,0,RDS
DY-41921,9.93,0,DynamoDB
LA-14835,9.29,0,Lambda
RD-48088,17.06,0,RDS
LA-45547,19.72,0,Lambda
S3-55445,4.06,0,S3
DY-60990,17.69,0,DynamoDB
S3-68141,2.9,0,S3
DY-11015,2.04,0,DynamoDB
RD-18415,19.64,0,RDS
DY-33833,9.66,0,DynamoDB
EC-82474,23.31,0,EC2
LA-85880,2.46,0,Lambda
LA-50943,7.29,0,Lambda
EC-70100,16.91,1,EC2
S3-60612,23.92,0,S3
EC-14809,17.7,0,EC2
RD-66397,6.69,0,RDS
RD-63932,6.78,0,RDS
LA-47744,6.26,0,Lambda
RD-17239,2.08,0,RDS
LA-71877,12.46,0,Lambda
EC-47131,12.96,0,EC2
EC-34285,23.26,0,EC2
EC-29198,14.57,0,EC2
LA-49764,18.37,0,Lambda
EC-69494,19.52,0,EC2
EC-16949,1.33,0,EC2
S3-35934,15.64,0,S3
EC-93251,21.8,0,EC2
RD-52318,11.37,0,RDS
LA-53088,15.31,0,Lambda
S3-65479,4.38,0,S3
DY-65123,18.69,0,DynamoDB
LA-24388,23.54,0,Lambda
RD-22015,5.81,0,RDS
LA-34214,13.36,0,Lambda
RD-21637,4.49,0,RDS
RD-51240,5.14,0,RDS
DY-79724,11.9,0,DynamoDB
LA-21314,14.84,0,Lambda
DY-46668,4.89,0,DynamoDB
DY-26907,13.62,0,DynamoDB
LA-91818,9.38,0,Lambda
EC-15240,19.39,1,EC2
EC-29262,12.77,0,EC2
DY-74291,1.06,0,DynamoDB
S3-60428,18.21,0,S3
DY-10055,13.34,0,DynamoDB
DY-83686,15.22,0,DynamoDB
DY-14621,17.57,0,DynamoDB
EC-15122,4.06,0,EC2
EC-48638,12.77,0,EC2
EC-98869,20.95,1,EC2
DY-83688,6.58,0,DynamoDB
S3-11062,5.19,0,S3
EC-66793,5.86,0,EC2
LA-13596,6.36,0,Lambda
LA-83794,16.62,0,Lambda
LA-16371,12.03,0,Lambda
RD-83479,14.5,0,RDS
DY-91449,13.98,0,DynamoDB
LA-64553,9.35,0,Lambda
DY-86090,6.62,0,DynamoDB
LA-68656,14.93,0,Lambda
S3-11605,6.18,0,S3
DY-66138,4.7,0,DynamoDB
LA-95655,19.53,0,Lambda
EC-34818,2.85,0,EC2
DY-19111,17.03,0,DynamoDB
RD-89579,10.15,0,RDS
EC-10117,1.12,0,EC2
EC-23234,4.93,0,EC2
RD-20954,17.52,0,RDS
EC-16469,7.44,0,EC2
EC-68067,17.35,0,EC2
LA-77584,6.58,0,Lambda
LA-11828,7.64,0,Lambda
DY-57362,22.44,0,DynamoDB
