service,cost,usage,usage_start_time
EC2,2.857,0.5993,2024-01-01 00:00:00
EC2,3.2519,0.6295,2024-01-01 01:00:00
Lambda,0.5374,0.4532,2024-01-01 02:00:00
S3,0.2033,0.8158,2024-01-01 03:00:00
S3,0.1001,0.4061,2024-01-01 04:00:00
S3,0.0955,0.4073,2024-01-01 05:00:00
EC2,2.3805,0.5484,2024-01-01 06:00:00
DynamoDB,0.1085,0.155,2024-01-01 07:00:00
EC2,1.4501,0.2974,2024-01-01 08:00:00
DynamoDB,0.2131,0.3184,2024-01-01 09:00:00
RDS,2.823,0.7931,2024-01-01 10:00:00
EC2,2.2892,0.5135,2024-01-01 11:00:00
EC2,1.8878,0.3911,2024-01-01 12:00:00
EC2,1.3194,0.2698,2024-01-01 13:00:00
S3,0.0898,0.3799,2024-01-01 14:00:00
S3,0.0996,0.3797,2024-01-01 15:00:00
DynamoDB,0.3391,0.4973,2024-01-01 16:00:00
DynamoDB,0.4492,0.6645,2024-01-01 17:00:00
EC2,2.3457,0.5418,2024-01-01 18:00:00
DynamoDB,0.1704,0.2344,2024-01-01 19:00:00
S3,0.1568,0.6477,2024-01-01 20:00:00
DynamoDB,0.3382,0.4769,2024-01-01 21:00:00
RDS,0.709,0.2043,2024-01-01 22:00:00
S3,0.1031,0.4079,2024-01-01 23:00:00
RDS,1.8669,0.5687,2024-01-02 00:00:00
DynamoDB,0.3988,0.5648,2024-01-02 01:00:00
Lambda,0.4509,0.3646,2024-01-02 02:00:00
EC2,3.5476,0.7062,2024-01-02 03:00:00
S3,0.0785,0.3322,2024-01-02 04:00:00
RDS,2.1379,0.5663,2024-01-02 05:00:00
Lambda,0.4805,0.4042,2024-01-02 06:00:00
Lambda,0.3145,0.2787,2024-01-02 07:00:00
S3,0.1698,0.6625,2024-01-02 08:00:00
S3,0.1224,0.4856,2024-01-02 09:00:00
Lambda,0.6646,0.5723,2024-01-02 10:00:00
EC2,2.9582,0.5723,2024-01-02 11:00:00
EC2,2.5507,0.4928,2024-01-02 12:00:00
RDS,0.0,0.0,2024-01-02 13:00:00
EC2,2.4464,0.5174,2024-01-02 14:00:00
Lambda,0.5602,0.5184,2024-01-02 15:00:00
Lambda,0.5571,0.4561,2024-01-02 16:00:00
DynamoDB,0.558,0.7956,2024-01-02 17:00:00
Lambda,0.3958,0.3383,2024-01-02 18:00:00
EC2,3.3327,0.6831,2024-01-02 19:00:00
RDS,1.455,0.394,2024-01-02 20:00:00
DynamoDB,0.3921,0.5194,2024-01-02 21:00:00
EC2,1.6978,0.3596,2024-01-02 22:00:00
RDS,1.4066,0.4216,2024-01-02 23:00:00
EC2,2.7193,0.5592,2024-01-03 00:00:00
DynamoDB,0.3565,0.501,2024-01-03 01:00:00
Lambda,0.2548,0.2169,2024-01-03 02:00:00
DynamoDB,0.2982,0.4315,2024-01-03 03:00:00
Lambda,0.5726,0.4677,2024-01-03 04:00:00
DynamoDB,0.6371,0.8772,2024-01-03 05:00:00
S3,0.1319,0.5515,2024-01-03 06:00:00
EC2,0.5572,0.1162,2024-01-03 07:00:00
EC2,2.7605,0.512,2024-01-03 08:00:00
S3,0.1124,0.4615,2024-01-03 09:00:00
Lambda,0.5571,0.4931,2024-01-03 10:00:00
EC2,3.6286,0.7286,2024-01-03 11:00:00
S3,0.1508,0.6582,2024-01-03 12:00:00
EC2,3.4841,0.7806,2024-01-03 13:00:00
RDS,2.466,0.6174,2024-01-03 14:00:00
Lambda,0.352,0.3019,2024-01-03 15:00:00
RDS,1.8246,0.5199,2024-01-03 16:00:00
Lambda,0.2286,0.1899,2024-01-03 17:00:00
S3,0.0706,0.2875,2024-01-03 18:00:00
Lambda,0.4087,0.3161,2024-01-03 19:00:00
Lambda,0.4054,0.3433,2024-01-03 20:00:00
S3,0.1493,0.6627,2024-01-03 21:00:00
Lambda,0.6974,0.5455,2024-01-03 22:00:00
EC2,0.8647,0.1785,2024-01-03 23:00:00
DynamoDB,0.413,0.552,2024-01-04 00:00:00
S3,0.0566,0.2526,2024-01-04 01:00:00
DynamoDB,0.4416,0.6044,2024-01-04 02:00:00
S3,0.1343,0.5501,2024-01-04 03:00:00
S3,0.0884,0.364,2024-01-04 04:00:00
RDS,1.9392,0.5586,2024-01-04 05:00:00
RDS,3.2178,0.8732,2024-01-04 06:00:00
Lambda,0.3244,0.2617,2024-01-04 07:00:00
DynamoDB,0.2283,0.3051,2024-01-04 08:00:00
S3,0.1684,0.7317,2024-01-04 09:00:00
Lambda,0.8484,0.6927,2024-01-04 10:00:00
EC2,3.4916,0.6644,2024-01-04 11:00:00
S3,0.1041,0.4509,2024-01-04 12:00:00
EC2,1.483,0.3221,2024-01-04 13:00:00
Lambda,0.5914,0.4846,2024-01-04 14:00:00
RDS,2.0819,0.5553,2024-01-04 15:00:00
Lambda,0.647,0.5026,2024-01-04 16:00:00
EC2,2.4378,0.4471,2024-01-04 17:00:00
S3,0.1436,0.6251,2024-01-04 18:00:00
DynamoDB,0.2108,0.2858,2024-01-04 19:00:00
Lambda,0.5659,0.4553,2024-01-04 20:00:00
S3,0.1422,0.5946,2024-01-04 21:00:00
RDS,1.1002,0.3306,2024-01-04 22:00:00
RDS,1.5418,0.4107,2024-01-04 23:00:00
RDS,1.8324,0.5428,2024-01-05 00:00:00
S3,0.1308,0.5346,2024-01-05 01:00:00
Lambda,0.3909,0.3232,2024-01-05 02:00:00
S3,0.1158,0.5116,2024-01-05 03:00:00
S3,0.141,0.5716,2024-01-05 04:00:00
DynamoDB,0.5431,0.7166,2024-01-05 05:00:00
DynamoDB,0.154,0.2245,2024-01-05 06:00:00
Lambda,0.7422,0.603,2024-01-05 07:00:00
DynamoDB,0.5178,0.603,2024-01-05 08:00:00
RDS,2.3366,0.6142,2024-01-05 09:00:00
